symbol,price,1h,24h,7d,date,volume_mkt_cap_ratio,log_price,encoded_symbol
BTC,40859.46,0.022,0.03,0.055,2022-03-16,0.045902925120492925,10.617918126262232,0.09845640509429
ETH,2744.41,0.024,0.034,0.065,2022-03-16,0.0603742827674442,7.917685705267398,0.10033925135969612
USDT,1.0,-0.001,-0.001,0.0,2022-03-16,0.7245026784105981,0.6931471805599453,0.18674798369797233
BNB,383.43,0.018,0.0279999999999999,0.004,2022-03-16,0.02179529662260854,5.95176171775536,0.09531979832992032
USDC,0.999874,-0.001,0.0,-0.0,2022-03-16,0.07415004064923623,0.693084178575362,0.10213159420089013
XRP,0.785018,0.019,0.019,0.089,2022-03-16,0.10458626405703601,0.5794284992143723,0.10609160479385032
LUNA,89.51,0.024,-0.005,0.046,2022-03-16,0.08078404796134643,4.505460341839079,0.10299473477118176
SOL,85.61,0.024,0.0139999999999999,0.0409999999999999,2022-03-16,0.06450371573777745,4.461415282342953,0.10087652558345045
ADA,0.824161,0.016,0.016,0.0279999999999999,2022-03-16,0.03610520919858414,0.6011201553006489,0.0971816392234484
DOT,18.55,0.031,0.035,0.095,2022-03-16,0.03777888048126458,2.972975286431375,0.0973993980406231
AVAX,73.69,0.034,0.032,0.011,2022-03-16,0.044308710197443646,4.313346214368975,0.09824898422284534
BUSD,1.0,-0.002,0.002,0.002,2022-03-16,0.2247260414441783,0.6931471805599453,0.12172280794000159
DOGE,0.11566,0.015,0.023,-0.011,2022-03-16,0.02950835850166195,0.10944615804277834,0.09632333304367137
UST,1.0,-0.001,0.003,0.001,2022-03-16,0.04939674963970482,0.6931471805599453,0.09891098127217669
SHIB,2.241815e-05,0.024,0.0279999999999999,-0.021,2022-03-16,0.0448334367871351,2.2417898717030817e-05,0.09831725559888778
WBTC,40820.44,0.02,0.03,0.055,2022-03-16,0.03999459261578495,10.616962712566709,0.09768768096607314
CRO,0.401575,0.018,0.043,0.038,2022-03-16,0.009816764868894257,0.3375966042829222,0.09376128983833584
MATIC,1.44,0.0289999999999999,0.034,-0.0,2022-03-16,0.06748431142996515,0.8919980393051105,0.10126432634165392
DAI,0.999429,-0.0,-0.001,-0.0,2022-03-16,0.033184226904970165,0.6928616397970615,0.09680159467358494
ATOM,28.8,0.017,0.051,0.035,2022-03-16,0.09403275664647646,3.3945083935113587,0.10471850404548383
LTC,109.44,0.016,0.013,0.089,2022-03-16,0.09642715624218526,4.704472387061954,0.10503003572389688
STETH,2745.31,0.026,0.035,0.067,2022-03-16,0.002915432134823436,7.9180134714346675,0.09286336796523446
NEAR,10.61,0.0409999999999999,0.032,0.091,2022-03-16,0.05844498393592064,2.4518667957098,0.10008823323213628
LINK,14.41,0.023,0.064,0.102,2022-03-16,0.1076506168730704,2.7350166493320245,0.10649030306365452
TRX,0.060751875857,0.011,0.005,0.003,2022-03-16,0.09908518841901454,0.05897797352390439,0.1053758682352319
FTT,42.37,0.02,0.024,0.045,2022-03-16,0.015696987134128988,3.7697679578472747,0.09452635658618086
BCH,295.57,0.018,0.015,0.039,2022-03-16,0.24558985408927378,5.69228327826318,0.1244373667726504
LEO,5.97,0.0069999999999999,0.01,0.055,2022-03-16,0.00014990865228717583,1.9416152247724325,0.09250354992410663
OKB,19.05,0.013,0.039,0.072,2022-03-16,0.03648218675218627,2.998229153752578,0.09723068719781666
ALGO,0.731009,0.025,0.0139999999999999,-0.01,2022-03-16,0.03141508516982285,0.5487044754873149,0.09657141434149302
XLM,0.186969,0.017,0.026,0.079,2022-03-16,0.05617158192979692,0.17140299902701786,0.09979244436550574
UNI,9.05,0.032,0.04,0.025,2022-03-16,0.04593702004651859,2.307572634505085,0.09846084113309872
HBAR,0.200008,0.012,-0.0069999999999999,-0.024,2022-03-16,0.01671180729325279,0.18232822343839916,0.09465839328883728
AXS,50.46,0.036,0.062,0.089,2022-03-16,0.07740265782478321,3.940804806853598,0.10255478725928743
MANA,2.43,0.021,0.065,0.0139999999999999,2022-03-16,0.13176905910702394,1.2325602611778486,0.1096283167867263
ETC,26.93,0.0279999999999999,0.031,0.01,2022-03-16,0.08833228758735288,3.3297013799570854,0.10397682471304778
EGLD,162.55,0.025,0.049,0.2289999999999999,2022-03-16,0.08979441539706276,5.097118753984393,0.10416705993169285
SAND,3.08,0.009,0.126,0.092,2022-03-16,0.28370464657814815,1.4060969884160703,0.12939642427404008
ICP,16.26,0.02,0.019,-0.035,2022-03-16,0.04584666802641438,2.848391685655282,0.09844908556960734
XMR,189.34,0.003,0.011,-0.073,2022-03-16,0.07364136494970233,5.248811946644198,0.10206541118167825
CETH,53.71,-0.001,0.009,0.04,2022-03-16,3.411269041569334e-07,4.002046508075734,0.0924840899215648
VET,0.047848054559,0.0279999999999999,0.033,0.0279999999999999,2022-03-16,0.08935620893307589,0.04673858927952424,0.10411004555720751
FTM,1.22,0.043,0.022,-0.079,2022-03-16,0.3817534802467602,0.7975071958841881,0.14215340843573454
FIL,17.27,0.016,0.01,-0.0409999999999999,2022-03-16,0.08662291974159272,2.9052603703899154,0.10375442147051077
OSMO,9.39,0.0139999999999999,0.018,-0.001,2022-03-16,0.030932268478262637,2.340843805111136,0.09650859579835713
KLAY,1.1,0.016,0.023,-0.012,2022-03-16,0.018827412687596395,0.7419373447293773,0.09493365147904945
FRAX,0.998392,-0.002,0.001,-0.0,2022-03-16,0.0063461442018196606,0.6923428571786012,0.09330973267825007
WAVES,28.62,0.0139999999999999,0.081,0.273,2022-03-16,0.5269009226087412,3.3884498088396526,0.16103832071914306
THETA,2.82,0.032,0.033,-0.004,2022-03-16,0.04246083443503467,1.3402504226184837,0.09800855992658594
MIM,0.997676,0.0,0.004,0.002,2022-03-16,0.01603344047761475,0.6919845049144946,0.09457013201739613
GRT,0.440816,0.003,0.0409999999999999,0.315,2022-03-16,0.14228077743997347,0.3652096197596489,0.11099598042195993
XTZ,3.05,0.021,0.025,0.013,2022-03-16,0.04307687354399178,1.3987168811184478,0.09808871183520029
CUSDC,0.022533007284,-0.001,0.001,0.001,2022-03-16,1.707946199933153e-08,0.022282889376147898,0.09248404776024648
HNT,21.72,-0.002,0.048,0.026,2022-03-16,0.010264200628900924,3.1232455938529506,0.09381950502244575
RUNE,7.23,0.04,-0.059,0.769,2022-03-16,0.13755954633764625,2.1077860146889784,0.10211825171658663
EOS,2.06,0.019,0.032,0.048,2022-03-16,0.16730838048229454,1.1184149159642893,0.11425228367075904
OMI,0.003406821495,0.019,0.027,-0.2189999999999999,2022-03-16,0.0017420726492057888,0.003401031425412942,0.0927107039526814
MIOTA,0.712336,0.018,0.011,0.012,2022-03-16,0.013634638699176829,0.5378585201449889,0.09425802757770432
CDAI,0.021895790224,-0.001,0.0,-0.0,2022-03-16,4.834152216012782e-08,0.021659520069854263,0.09248405182770543
FLOW,5.43,0.017,0.023,-0.053,2022-03-16,0.029870613047482772,1.860974538249528,0.09637046542995917
TFUEL,0.162482,0.024,0.0069999999999999,0.064,2022-03-16,0.008538642901725286,0.1505573744885302,0.09359499533913765
AAVE,137.44,0.037,0.131,0.129,2022-03-16,0.15162271988223072,4.930437018767144,0.11221144630070895
ZEC,148.94,0.02,0.065,0.075,2022-03-16,0.1536317589575854,5.010235214074916,0.112472839309739
